Rectangular room modes (ideal rigid walls, uniform air)
  L×W×H = 12 × 8 × 3 m
  c = 343 m/s

  f(nx,ny,nz) = (c/2) * sqrt((nx/Lx)² + (ny/Ly)² + (nz/Lz)²)

  First 50 modes (by frequency):
      1  (1,0,0)  14.292 Hz
      2  (0,1,0)  21.438 Hz
      3  (1,1,0)  25.765 Hz
      4  (2,0,0)  28.583 Hz
      5  (2,1,0)  35.729 Hz
      6  (0,2,0)  42.875 Hz
      7  (3,0,0)  42.875 Hz
      8  (1,2,0)  45.194 Hz
      9  (3,1,0)  47.936 Hz
     10  (2,2,0)  51.529 Hz
     11  (0,0,1)  57.167 Hz
     12  (4,0,0)  57.167 Hz
     13  (1,0,1)  58.926 Hz
     14  (3,2,0)  60.634 Hz
     15  (0,1,1)  61.054 Hz
     16  (4,1,0)  61.054 Hz
     17  (1,1,1)  62.704 Hz
     18  (2,0,1)  63.914 Hz
     19  (0,3,0)  64.313 Hz
     20  (1,3,0)  65.881 Hz
     21  (2,1,1)  67.414 Hz
     22  (2,3,0)  70.378 Hz
     23  (0,2,1)  71.458 Hz
     24  (3,0,1)  71.458 Hz
     25  (4,2,0)  71.458 Hz
     26  (5,0,0)  71.458 Hz
     27  (1,2,1)  72.873 Hz
     28  (3,1,1)  74.605 Hz
     29  (5,1,0)  74.605 Hz
     30  (2,2,1)  76.963 Hz
     31  (3,3,0)  77.294 Hz
     32  (4,0,1)  80.846 Hz
     33  (3,2,1)  83.334 Hz
     34  (5,2,0)  83.334 Hz
     35  (4,1,1)  83.640 Hz
     36  (0,4,0)  85.750 Hz
     37  (6,0,0)  85.750 Hz
     38  (0,3,1)  86.047 Hz
     39  (4,3,0)  86.047 Hz
     40  (1,4,0)  86.933 Hz
     41  (1,3,1)  87.226 Hz
     42  (6,1,0)  88.389 Hz
     43  (2,4,0)  90.388 Hz
     44  (2,3,1)  90.670 Hz
     45  (4,2,1)  91.511 Hz
     46  (5,0,1)  91.511 Hz
     47  (5,1,1)  93.989 Hz
     48  (3,4,0)  95.871 Hz
     49  (6,2,0)  95.871 Hz
     50  (3,3,1)  96.137 Hz
    … 1280 more
